ASV,Dry_F_1,Dry_F_2,Dry_F_3,Dry_F_4,Dry_F_5,Dry_N_1,Dry_N_2,Dry_N_3,Dry_N_4,Dry_N_5,Wet_F_1,Wet_F_2,Wet_F_3,Wet_F_4,Wet_F_5,Wet_N_1,Wet_N_2,Wet_N_3,Wet_N_4,Wet_N_5
ASV_0054,1,1,0,0,4,0,0,1,0,0,1,3,1,5,18,1,104,0,0,8
ASV_0055,0,0,0,0,8,0,0,1,7,102,0,0,0,1,0,1,0,0,0,22
ASV_0056,1,0,0,3,0,5,2,0,0,0,4,46,18,2,9,9,5,11,14,9
ASV_0057,7,11,4,3,1,61,1,17,14,2,0,1,2,1,1,0,0,1,0,8
ASV_0058,0,2,0,0,1,1,0,0,0,0,22,26,57,10,3,3,2,1,2,3
ASV_0059,5,14,24,13,11,4,11,5,14,2,0,0,0,0,0,0,0,15,0,11
ASV_0060,0,2,0,0,1,0,0,0,0,0,73,1,1,0,3,0,25,21,2,0
ASV_0061,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,117,0,4,0,1
ASV_0062,18,0,4,31,0,3,17,32,5,5,0,0,2,6,0,0,0,0,2,0
ASV_0063,13,14,4,11,3,22,22,3,10,0,0,0,0,1,21,0,0,0,0,0
ASV_0064,1,0,0,84,2,1,16,0,0,0,0,0,0,8,0,12,0,0,0,0
ASV_0065,0,1,10,12,0,0,49,1,42,1,0,0,0,0,0,0,0,0,0,5
ASV_0066,3,19,12,19,1,1,34,9,20,3,0,0,0,0,0,0,0,0,0,0
ASV_0067,3,0,0,0,0,14,38,0,0,0,1,0,35,0,3,4,0,2,1,19
ASV_0068,1,6,6,17,7,0,39,4,5,2,0,20,0,0,1,0,4,5,0,1
ASV_0069,25,0,1,0,2,0,0,0,0,0,0,32,25,0,0,8,6,18,0,0
ASV_0070,7,0,0,24,2,3,9,1,0,0,38,0,2,10,0,2,0,11,5,2
ASV_0071,0,1,24,8,3,13,38,14,5,0,3,0,0,7,0,0,0,0,0,0
ASV_0072,1,8,16,13,0,1,23,2,44,6,0,0,0,0,0,0,0,0,0,0
ASV_0073,7,8,21,1,3,4,2,16,1,0,0,1,1,25,7,0,6,2,0,9
ASV_0074,6,6,6,6,6,19,5,0,5,0,4,3,0,16,9,3,5,4,0,9
ASV_0075,5,7,18,12,0,3,19,6,38,0,0,0,0,0,0,0,0,0,0,3
ASV_0076,0,0,0,1,0,0,0,0,0,0,7,7,55,24,0,0,12,1,3,0
ASV_0077,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81
ASV_0078,2,1,0,4,6,11,8,1,1,3,8,2,1,29,4,11,7,2,1,5
ASV_0079,32,10,4,8,4,12,3,6,8,1,0,4,0,2,11,0,0,0,0,0
ASV_0080,0,26,11,5,14,1,18,14,3,1,1,1,4,3,0,1,0,0,0,0
ASV_0081,0,2,0,1,4,1,54,0,0,0,1,0,0,5,16,0,0,0,4,15
ASV_0082,44,2,0,14,3,2,1,1,6,1,2,0,0,2,0,4,0,18,3,0
ASV_0083,0,0,0,0,6,28,0,0,12,8,1,2,0,0,20,6,15,0,0,4
ASV_0084,0,0,0,0,0,93,0,0,0,0,0,0,1,1,0,0,0,6,0,0
ASV_0085,2,3,4,0,5,3,2,6,2,11,5,0,0,6,2,0,3,14,29,3
ASV_0086,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0087,29,0,0,0,0,14,7,0,0,0,4,2,14,1,4,0,1,0,2,18
ASV_0088,0,0,0,0,2,12,17,0,3,14,0,3,0,12,7,4,1,20,0,0
ASV_0089,6,2,2,0,1,6,3,1,3,0,9,0,9,27,1,0,1,2,6,15
ASV_0090,0,0,0,0,0,1,0,0,0,1,17,12,10,0,2,0,6,5,31,6
ASV_0091,0,0,0,0,1,0,0,0,0,0,34,2,14,6,0,3,0,17,12,1
ASV_0092,8,14,7,9,1,5,20,3,9,5,0,0,0,0,1,2,0,0,0,4
ASV_0093,41,7,0,8,4,6,9,9,1,2,0,0,0,0,0,0,0,0,0,0
ASV_0094,17,0,0,2,1,10,2,1,0,11,0,0,0,4,1,0,0,1,0,37
ASV_0095,3,5,16,1,12,22,3,8,9,0,0,0,0,5,0,0,0,2,0,0
ASV_0096,0,0,0,6,9,0,0,0,0,8,0,0,0,0,0,2,0,0,59,0
ASV_0097,0,0,1,0,0,0,0,0,0,1,0,14,27,4,12,8,0,0,0,14
ASV_0098,1,2,3,0,0,2,32,30,2,1,0,2,0,2,0,0,0,2,0,1
ASV_0099,0,0,0,0,0,0,0,0,0,0,1,10,34,13,0,19,3,0,0,0
ASV_0100,9,1,7,6,2,1,9,3,4,2,0,4,0,16,2,0,3,0,8,2
ASV_0101,10,0,0,1,0,0,0,3,0,0,0,0,18,12,8,10,0,0,0,17
ASV_0102,0,0,0,0,1,0,0,0,0,0,3,1,1,4,0,1,0,67,0,0
ASV_0103,0,0,0,0,0,0,1,0,0,18,0,0,0,0,27,31,0,0,0,0
ASV_0104,16,9,0,0,0,22,26,0,3,0,0,0,0,0,0,0,0,0,1,0
ASV_0105,0,0,5,3,3,3,14,5,0,4,1,3,1,1,0,3,7,17,0,7
ASV_0106,4,5,0,1,0,1,0,7,5,3,0,2,6,3,17,0,2,0,4,17
ASV_0107,10,4,3,5,2,4,6,6,6,3,1,9,5,4,3,0,1,0,0,3
ASV_0108,2,0,0,7,19,4,0,0,27,9,0,0,6,0,0,0,0,0,0,0
ASV_0109,23,0,0,0,0,34,0,0,8,0,3,0,0,0,2,0,0,0,0,3
ASV_0110,0,38,0,0,16,0,0,0,0,0,13,0,0,0,4,0,0,0,0,1
ASV_0111,0,2,0,0,0,37,2,6,0,4,0,3,8,0,3,2,4,0,0,1
ASV_0112,31,0,0,2,3,16,12,0,0,2,0,0,2,0,0,0,0,0,0,2
ASV_0113,0,0,15,13,9,0,0,6,8,18,0,0,0,0,0,0,0,0,0,1
ASV_0114,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
ASV_0115,0,0,0,0,0,18,0,0,0,18,0,0,0,0,14,18,0,0,0,0
ASV_0116,1,3,0,0,0,9,0,3,0,0,5,1,9,0,11,0,2,2,7,15
ASV_0117,1,9,7,6,0,4,12,12,0,0,0,0,1,6,2,0,0,2,5,0
ASV_0118,0,0,0,0,0,0,0,0,0,0,27,0,4,0,0,0,4,30,2,0
ASV_0119,0,0,0,0,0,0,0,0,0,0,66,0,0,0,1,0,0,0,0,0
ASV_0120,0,0,0,0,1,0,0,0,0,0,0,5,0,0,37,0,17,0,0,6
ASV_0121,0,2,4,10,9,0,0,0,0,2,0,6,11,5,14,1,0,0,0,0
ASV_0122,0,0,0,11,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0
ASV_0123,0,0,2,18,0,0,21,19,3,0,0,0,0,0,0,0,0,0,0,0
ASV_0124,1,0,0,0,0,0,0,0,1,1,1,1,7,1,0,1,8,41,0,0
ASV_0125,2,1,0,0,5,17,2,8,19,0,3,0,1,0,0,0,5,0,0,0
ASV_0126,1,0,2,3,0,0,3,0,0,0,0,0,0,2,1,0,1,0,49,1
ASV_0127,23,0,0,0,0,7,0,0,0,0,0,0,3,3,12,5,0,7,0,3
ASV_0128,0,1,0,0,12,0,0,6,3,0,27,0,0,9,0,3,0,0,0,0
ASV_0129,0,0,7,31,4,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0130,5,0,0,3,3,21,0,0,0,4,5,5,2,0,2,0,0,0,0,10
ASV_0131,0,15,2,5,2,0,13,2,9,4,0,0,1,3,0,0,0,0,0,3
ASV_0132,0,0,0,5,1,0,0,0,5,0,38,0,0,0,0,0,0,10,0,0
ASV_0133,25,0,0,8,0,3,3,0,0,4,0,0,0,5,1,0,0,10,0,0
ASV_0134,0,3,24,11,0,0,6,11,3,0,0,0,0,0,0,0,0,0,0,0
ASV_0135,5,2,2,1,1,10,3,5,4,4,1,0,2,4,7,1,0,0,0,5
ASV_0136,0,0,0,0,5,14,19,13,5,1,0,0,0,0,0,0,0,0,0,0
ASV_0137,8,0,3,7,4,8,4,2,0,2,0,1,6,5,1,0,0,0,0,4
ASV_0138,3,0,0,0,0,11,0,0,0,2,0,8,10,12,5,0,4,0,0,0
ASV_0139,16,3,4,22,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2
ASV_0140,0,0,0,0,0,20,0,0,0,0,0,0,0,0,34,0,0,0,0,0
ASV_0141,0,1,2,3,15,0,0,0,0,3,0,13,0,0,10,0,0,0,6,0
ASV_0142,0,3,13,4,1,13,3,2,7,1,0,1,1,1,0,0,0,0,0,3
ASV_0143,0,3,7,4,0,2,4,5,1,0,3,0,0,11,1,5,1,3,2,1
ASV_0144,1,30,12,3,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0
ASV_0145,8,0,0,0,1,0,1,0,2,0,5,1,12,8,6,4,0,5,0,0
ASV_0146,3,5,0,3,0,5,6,2,2,0,0,2,2,1,4,0,5,5,0,8
ASV_0147,4,0,2,0,0,19,1,0,10,1,0,0,0,0,0,0,11,0,0,5
ASV_0148,0,0,0,0,1,0,0,0,0,0,0,0,46,3,0,0,3,0,0,0
ASV_0149,6,0,3,1,3,11,3,7,0,0,0,2,1,2,2,0,1,1,6,3
ASV_0150,8,0,0,0,1,0,1,0,0,0,8,0,0,5,4,15,8,0,0,2
ASV_0151,1,0,0,1,0,0,0,0,0,0,0,3,31,12,0,0,0,3,0,0
ASV_0152,1,0,2,1,0,39,3,0,1,0,0,0,0,0,0,0,0,0,0,4
ASV_0153,2,0,0,2,41,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1
ASV_0154,0,0,19,8,0,0,0,9,11,2,0,0,0,0,0,1,0,0,0,0
ASV_0155,0,0,0,8,36,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1
ASV_0156,0,0,0,1,0,1,0,0,1,0,5,6,3,12,5,9,2,1,0,3
ASV_0157,0,0,0,0,0,39,0,0,0,7,0,0,0,0,0,0,3,0,0,0
ASV_0158,0,2,0,0,1,0,0,3,0,0,12,2,11,6,1,5,3,0,0,3
ASV_0159,0,0,0,46,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV_0160,0,0,0,13,0,1,0,2,32,0,0,0,0,0,0,0,0,0,0,0
ASV_0161,0,0,1,11,1,0,1,0,7,3,3,4,6,0,9,0,2,0,0,0
ASV_0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
ASV_0163,5,7,0,1,1,0,3,21,3,1,0,0,0,2,1,0,0,0,0,3
ASV_0164,1,0,0,0,1,8,2,0,1,2,7,3,2,7,1,4,3,4,0,2
ASV_0165,3,0,0,0,1,13,1,1,0,1,0,9,1,2,0,0,2,2,11,0
ASV_0166,1,0,1,0,1,1,0,2,0,1,0,17,0,6,2,3,0,8,4,0
ASV_0167,0,0,13,0,0,0,18,7,5,4,0,0,0,0,0,0,0,0,0,0
ASV_0168,1,1,3,3,0,5,2,1,7,0,3,0,0,4,1,0,0,0,13,3
ASV_0169,3,2,13,4,0,3,5,12,2,0,0,0,0,0,0,0,1,1,0,0
ASV_0170,1,2,1,1,0,0,11,27,3,0,0,0,0,0,0,0,0,0,0,0
ASV_0171,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,0,0,0,0,0
ASV_0172,0,1,2,0,0,3,2,0,0,0,9,0,2,3,5,3,0,1,6,9
ASV_0173,5,3,0,11,0,2,0,1,6,0,2,1,1,9,0,0,0,4,0,1
ASV_0174,6,0,1,3,0,17,5,2,3,1,0,1,0,0,3,0,2,0,0,1
ASV_0175,4,8,1,1,0,10,5,0,1,0,5,0,0,0,0,0,1,7,1,1
ASV_0176,0,5,5,4,3,3,3,4,6,1,0,2,0,0,0,0,0,0,0,8
ASV_0177,11,0,0,8,2,5,14,0,2,1,0,0,0,0,0,0,0,0,0,0
ASV_0178,0,0,0,0,0,0,0,0,0,0,0,1,9,8,1,5,2,12,5,0
ASV_0179,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0180,0,0,0,0,0,0,0,0,0,0,4,2,3,5,8,9,1,9,0,2
ASV_0181,0,0,5,9,0,0,4,2,4,0,0,0,1,2,0,1,1,0,11,2
ASV_0182,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
ASV_0183,0,0,0,0,4,12,0,5,3,8,3,0,0,7,0,0,0,0,0,0
ASV_0184,0,0,8,3,7,0,0,7,3,2,1,0,9,0,1,0,0,0,0,1
ASV_0185,9,9,3,1,0,0,8,0,0,0,0,0,0,3,0,0,0,0,9,0
ASV_0186,0,15,10,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
ASV_0187,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
ASV_0188,7,0,0,0,0,0,6,1,0,0,0,0,0,3,0,0,5,0,0,19
ASV_0189,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_0190,0,0,0,0,0,0,0,0,0,0,1,3,5,23,0,6,3,0,0,0
ASV_0191,28,1,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ASV_0192,2,0,0,4,1,9,0,0,10,7,0,0,0,0,4,3,0,0,0,1
ASV_0193,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0194,1,4,2,2,1,0,8,1,13,6,0,0,0,0,1,0,0,0,0,2
ASV_0195,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,1,0,3,0,0
ASV_0196,0,0,0,8,0,1,0,1,6,1,0,0,0,7,3,0,0,0,4,9
ASV_0197,0,0,27,0,0,6,5,0,1,0,0,0,0,0,1,0,0,0,0,0
ASV_0198,10,3,5,3,2,2,4,0,0,1,3,0,2,0,0,2,0,1,0,1
ASV_0199,20,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0200,0,0,19,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,1
ASV_0201,7,10,0,0,2,16,0,2,2,0,0,0,0,0,0,0,0,0,0,0
ASV_0202,5,2,5,10,3,0,4,3,2,0,0,0,3,0,0,0,1,0,0,0
ASV_0203,6,1,0,3,3,1,0,1,0,1,6,0,4,3,1,0,1,6,0,1
ASV_0204,3,0,0,0,0,1,13,0,0,0,0,1,0,3,12,0,0,0,0,5
ASV_0205,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,27,2,0,0
ASV_0206,4,0,0,2,0,3,3,3,3,0,0,0,1,3,4,6,0,0,0,5
ASV_0207,0,0,0,0,0,0,0,0,0,0,5,11,4,6,0,3,4,4,0,0
ASV_0208,0,0,1,25,3,0,0,2,0,1,1,0,0,0,1,0,0,0,0,3
ASV_0209,0,0,0,0,0,0,0,0,0,0,0,15,17,0,0,5,0,0,0,0
ASV_0210,1,0,0,0,0,0,0,0,0,0,3,1,0,22,0,0,2,6,2,0
ASV_0211,0,0,0,0,0,0,0,0,0,0,0,2,5,16,5,8,0,0,0,1
ASV_0212,1,0,0,7,0,7,0,0,0,1,2,0,4,13,0,0,0,0,1,0
ASV_0213,10,0,0,0,1,7,0,0,0,0,5,2,5,1,2,2,1,0,0,0
ASV_0214,2,1,1,0,2,0,2,0,0,1,1,3,1,10,3,3,0,1,4,1
ASV_0215,0,1,3,0,3,0,1,1,1,7,2,1,3,2,0,0,0,4,2,5
ASV_0216,4,0,1,5,0,11,0,0,0,8,0,5,0,0,0,2,0,0,0,0
ASV_0217,12,2,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0218,0,0,0,0,0,28,0,0,8,0,0,0,0,0,0,0,0,0,0,0
ASV_0219,0,0,0,0,1,0,0,0,0,0,2,2,11,3,0,8,5,3,0,0
ASV_0220,2,8,2,5,3,2,0,3,7,3,0,0,0,0,0,0,0,0,0,0
ASV_0221,0,0,0,18,1,2,0,2,0,0,0,3,0,0,4,5,0,0,0,0
ASV_0222,1,0,0,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
ASV_0223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,16
ASV_0224,2,0,0,0,0,2,11,0,10,0,0,0,0,2,0,0,0,0,0,7
ASV_0225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0
ASV_0226,0,3,0,16,0,2,8,0,0,0,0,1,1,1,1,1,0,0,0,0
ASV_0227,0,3,5,2,0,0,10,5,5,2,0,0,1,0,0,0,0,0,0,1
ASV_0228,0,1,0,0,0,0,1,0,0,0,2,5,0,0,0,23,2,0,0,0
ASV_0229,0,5,1,0,0,2,4,15,1,6,0,0,0,0,0,0,0,0,0,0
ASV_0230,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,9,19,0
ASV_0231,3,0,3,1,0,1,2,16,0,0,0,1,0,1,0,0,0,2,1,2
ASV_0232,0,0,4,1,0,1,0,0,7,5,0,0,0,0,1,0,0,0,14,0
ASV_0233,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,0,0,0,0
ASV_0234,1,8,0,0,0,12,3,0,0,1,0,0,1,4,0,0,1,0,0,2
ASV_0235,2,6,1,1,5,3,0,1,2,1,2,2,0,0,0,0,1,1,2,3
ASV_0236,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0237,11,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV_0238,0,1,1,0,1,6,1,1,0,0,9,0,4,2,1,0,1,0,4,0
ASV_0239,0,0,4,1,2,1,4,15,0,1,0,0,0,2,0,0,0,0,1,1
ASV_0240,0,0,0,0,4,0,0,0,0,4,0,1,0,1,0,0,0,7,14,1
ASV_0241,0,1,0,0,2,3,0,0,2,0,0,0,0,0,17,0,0,0,0,7
ASV_0242,0,4,0,0,0,0,19,0,0,0,0,0,0,0,9,0,0,0,0,0
ASV_0243,1,4,0,2,4,6,9,1,5,0,0,0,0,0,0,0,0,0,0,0
ASV_0244,0,0,0,13,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0
ASV_0245,0,0,1,2,6,0,1,4,0,1,1,2,1,7,2,1,1,1,0,0
ASV_0246,0,5,0,0,0,13,0,7,6,0,0,0,0,0,0,0,0,0,0,0
ASV_0247,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28
ASV_0248,0,1,9,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0249,0,2,1,1,0,5,6,0,0,1,5,0,0,1,0,0,0,3,1,5
ASV_0250,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,11
ASV_0251,26,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ASV_0252,0,0,19,1,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0
ASV_0253,0,0,0,0,1,0,0,0,0,0,5,0,9,3,0,7,3,2,0,0
ASV_0254,1,1,0,1,0,3,0,0,0,0,5,0,0,4,1,1,0,2,10,1
ASV_0255,0,0,0,0,1,0,0,0,0,0,0,18,5,1,0,5,0,0,0,0
ASV_0256,2,0,11,0,3,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0
ASV_0257,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ASV_0258,2,0,0,20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0259,13,0,0,0,0,0,0,0,0,0,1,2,6,1,0,2,0,4,0,0
ASV_0260,0,0,0,0,0,0,0,0,0,0,13,0,8,0,2,1,0,4,1,0
ASV_0261,0,1,11,4,0,1,3,5,0,3,0,0,0,0,0,0,0,0,0,1
ASV_0262,0,3,0,5,8,2,0,6,1,4,0,0,0,0,0,0,0,0,0,0
ASV_0263,3,0,0,0,0,2,0,4,0,0,0,0,4,2,0,0,0,0,0,14
ASV_0264,1,1,0,4,3,4,3,1,2,1,0,1,0,1,0,1,2,2,0,2
ASV_0265,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_0266,1,1,0,0,1,2,3,5,0,6,0,4,5,0,0,1,0,0,0,0
ASV_0267,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,0,2
ASV_0268,0,2,3,2,0,3,8,0,3,0,1,0,1,4,0,1,0,0,0,0
ASV_0269,7,0,4,3,0,7,3,2,2,0,0,0,0,0,0,0,0,0,0,0
ASV_0270,7,2,0,5,0,0,0,0,5,3,0,0,0,0,3,0,2,0,1,0
ASV_0271,11,0,0,1,1,8,0,1,2,0,0,0,0,0,2,1,0,0,0,1
ASV_0272,3,1,0,4,5,2,10,1,1,1,0,0,0,0,0,0,0,0,0,0
ASV_0273,0,0,0,0,0,8,0,0,0,0,4,2,4,7,1,0,2,0,0,0
ASV_0274,0,2,4,3,8,1,2,1,1,0,0,2,1,0,0,0,2,0,1,0
ASV_0275,0,0,0,10,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0
ASV_0276,0,2,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,0
ASV_0277,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
ASV_0278,0,0,0,1,0,0,4,0,0,0,0,0,9,2,2,0,1,3,5,0
ASV_0279,0,0,0,1,0,0,0,0,0,0,12,0,0,5,0,1,1,0,7,0
ASV_0280,0,7,9,5,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
ASV_0281,0,0,1,0,0,0,0,1,0,0,2,0,2,6,1,3,0,8,1,2
ASV_0282,0,1,2,3,2,1,5,2,0,0,0,0,2,2,0,0,0,2,4,1
ASV_0283,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,9,0,0
ASV_0284,2,4,2,1,0,2,1,0,0,6,0,0,1,0,1,0,0,0,0,7
ASV_0285,7,3,0,0,0,1,5,2,4,2,0,0,0,0,0,0,0,0,0,2
ASV_0286,0,0,0,0,2,0,0,0,0,1,3,1,9,2,2,0,4,0,2,0
ASV_0287,1,0,0,1,0,0,0,2,0,5,13,0,0,0,1,0,3,0,0,0
ASV_0288,0,0,0,3,4,0,0,1,0,2,1,2,3,0,6,2,0,1,0,1
ASV_0289,0,0,0,0,0,5,1,1,0,16,0,0,1,0,2,0,0,0,0,0
ASV_0290,0,3,0,3,9,0,0,0,0,8,0,0,0,0,2,0,0,0,1,0
